我家熊孩子不熊 || 点赞16 || 评论804
昨天问儿子：“宝贝，人家都有弟弟妹妹，你也想要吗？考虑清楚再告诉我哦。”他思考良久，开口说：“要，要十个。”我笑傻了，要那么多干嘛？他认真地数着手指头：“一个帮我上学，一个帮我做作业，一个帮我睡觉，一个帮妈妈干家务，五个去帮爸爸搬砖，好养活我们；我呢，啥都不用做，看电视吃垃圾食品就行了。”发现自己少说了一个，又来了句：“嗯，还有一个，专门帮我挨打，你和爸爸就都别找我麻烦了……”这美好的前景让他着迷了，到今天还在拼命催着我和他爸爸赶紧生呢！[捂脸][捂脸][捂脸]单身狗爱流浪猫 || 点赞39 || 评论5564
失恋了难受，天天借酒浇愁，好哥们为开解我，这些天就让我在他家睡。昨我回家了，今中午跟我妈在吃饭，哥们打电话来，我把扬声器打开，边吃边听他说：“劳资竟然挺习惯你陪着睡，昨天你没在，我都没睡着，你晚上过来…”我妈暴走了：“原来你跟女朋友分手是因为有男朋友!”……[衰][衰]加腾鹰的手指 || 点赞46 || 评论3917
说过真实的，一朋友去嫖，问多少钱，女的说60，朋友说一秒一块钱行不行，女的想了一下说可以，结果八秒钟完事，给了十块叫女的找2块。后来给我们说这事，大家给他取了个外号，姓杨，叫八秒。黄山小妖 || 点赞14 || 评论1694
我跟同学说道：“这家卖手抓饼的特别火，你看这队排的，估计要等上半个多小时...她笑了几声，自豪的说道：“看我的！”随后她就挤到最前面，小声说道：“给我先来两张饼，我着急...”结果只等来了一句：“请后面排下队...”她当时就喊道：“妈！是我呀...”她妈看了她一眼，然后大声喊道：“滚后面排队去！”得瑟爱爱得瑟 || 点赞19 || 评论147
大家来猜一下这是什么车麟妖 || 点赞75 || 评论750
就是买不起也要知道。（驹迷）真的爱你 || 点赞23 || 评论2240
我坐在窗户边的位置上课抢红包，太入境，而且手气还不咋地，气得我咬牙跺脚……正当我快崩溃时:窗户边的班主任冷冷地道:你这手速不行啊，看来不抄20遍校规是不能抢到大的胖香 || 点赞24 || 评论963
像我哥那样出得厅堂，入得厨房，工作起来是个拼命三郎的好男人，竟然天天被嫂子嫌弃，今天埋怨我哥——给娃把屎端尿都行，就是不吃娃吃剩下的东西。我充满同情的问嫂子一句:“那你俩平时接吻他吸你口水不？”#落落大方 || 点赞23 || 评论931
永远不要感觉和老板关系好，可以做朋友，人家只是把你当员工，榨取你的利用价值，只要你好好干活，多干更好，你生病了，难受了，想偷点懒，呵呵，不行。休想。怎么办，没办法，辞职吧。兰花沟一霸 || 点赞3 || 评论330
今天带我两岁四个月的宝贝女儿逛街，女儿忽然兴奋了，说和我说“妈妈我好像闻到食物的味道！”于是我炫技般说着“是啊，好像有肉的味道，还有洋芋，还有……”她也不甘示弱的说“还有还有……”我面带启发的微笑问“还有什么？”她眼睛咕噜咕噜转了转说“还有鼻屎的味道。”额……客家细妹勤上勤，五… || 点赞59 || 评论767
